sentence,label
the screenwriters dig themselves in deeper every time,0
we 've liked klein 's other work but rollerball left us cold .,0
ecstasy,1
"some cute moments , funny scenes , and",1
fondness and respect,1
such conviction,1
brilliantly written,1
stylish sizzle,1
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,1
when it 's really an exercise in gross romanticization of the delusional personality type,0
try hard but come off too amateurish and awkward,0
well-meant,1
home,1
one of the worst movies of the year,0
twice as bestial but half as funny,0
"pretentious ,",0
"a summer entertainment adults can see without feeling embarrassed ,",1
"'s a lovely , eerie film that casts an odd , rapt spell .",1
"partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless .",0
"the filmmakers know how to please the eye ,",1
the psychology too textbook to intrigue,0
the movie 's seams may show ... but pellington gives `` mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling,1
is hardly journalism at all,0
cute alien,1
but it does have one saving grace .,1
toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it 's hard not to be carried away,1
's a masterpeice .,1
"none of this sounds promising and , indeed , the first half of sorority boys is as appalling as any ` comedy ' to ever spill from a projector 's lens",0
should not be missed .,1
is too insistent,0
a guilty pleasure,1
has something to say,1
fans will undoubtedly enjoy it,1
i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener,0
feel a bit too much like an infomercial for ram dass 's latest book aimed at the boomer demographic,0
is precious little of either .,0
of those rare docs that paints a grand picture of an era and makes the journey feel like a party,1
is also elevated by it -- the kind of movie that you enjoy more because you 're one of the lucky few who sought it out,1
with roussillon providing comic relief,1
in a movie that works against itself,0
death to smoochy is often very funny,1
"brings a youthful , out-to-change-the-world aggressiveness to the project , as if she 's cut open a vein and",1
"one part romance novel ,",1
ultimately delivers,1
"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .",1
"can gasp , shudder and even tremble without losing his machismo",1
the whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product .,0
"is not that it 's offensive , but that it 's boring .",0
living mug shots,0
"do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior",0
entertains not so much,0
there 's a whole heap of nothing at the core of this slight coming-of-age/coming-out tale .,0
makes even elizabeth hurley seem graceless and ugly,0
a glimmer of intelligence or invention,1
"gentle , lapping",1
turn it off,0
this rich and luscious,1
befuddled,0
of a witty expose on the banality and hypocrisy of too much kid-vid,1
"offer audiences any way of gripping what its point is , or even its attitude toward its subject",0
very talented young actors,1
"where human nature should be ingratiating , it 's just grating",0
"its dark , delicate treatment of these characters",1
land beyond time,1
chitchat that only self-aware neurotics engage in,0
what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve,1
winning performances,1
like it hot on the hardwood proves once again that a man in drag is not in and of himself funny .,0
"undercut by the brutality of the jokes , most at women 's expense",0
", `` far from heaven '' is a masterpiece .",1
a solidly entertaining,1
an unencouraging threefold expansion,0
to the tiniest segment of an already obscure demographic,0
feels familiar and tired,0
charlotte sometimes is a gem .,1
what makes this film special is serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context .,1
is wonderful .,1
", violent movie",0
all the signs of rich detail condensed,1
get the same love story and,1
"drama , conflict , tears and surprise --",1
the most original fantasy film,1
shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence,0
"does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject .",0
in short,0
angry,0
this low-rent -- and even lower-wit -- rip-off,0
"the ch teau would have been benefited from a sharper , cleaner script before it went in front of the camera .",0
a movie like ballistic : ecks vs. sever is more of an ordeal than an amusement .,0
appears to have been modeled on the worst revenge-of-the-nerds clich s the filmmakers could dredge up,0
"'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",1
"cheesy backdrops , ridiculous action sequences ,",0
two marvelously,1
is too steeped in fairy tales and other childish things,0
exciting and well-paced .,1
eat popcorn,1
there 's plenty to enjoy -- in no small part thanks to lau .,1
take us on his sentimental journey of the heart,1
of a man with unimaginable demons,1
rise above the level of an after-school tv special,0
"presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale",1
she 's pretty,1
scoring,1
"lack a strong-minded viewpoint , or a sense of humor .",0
bittersweet drama,1
offers an interesting look,1
the best war movies ever made,1
left me feeling refreshed and hopeful .,1
the shameless self-caricature of ` analyze this ' ( 1999 ) and,0
overstimulated minds,0
"russell lacks the visual panache , the comic touch , and perhaps the budget of sommers 's title-bout features .",0
want the story to go on and on,1
", it may rate as the most magical and most fun family fare of this or any recent holiday season .",1
an engrossing portrait of uncompromising artists trying to create something original,1
know the band or the album 's songs by heart,1
daring,1
unfolds with such a wallop of you-are-there immediacy,1
losers,0
a thrill ride,1
is somewhat problematic,1
mental illness,0
ludicrous terms,0
an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .,1
"if it is n't entirely persuasive , it does give exposure to some talented performers",1
your favorite pet get buried alive,0
to appearing in this junk that 's tv sitcom material at best,0
beautiful and mysterious,1
this kiddie-oriented stinker,0
", nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth .",1
trapped at a bad rock concert,0
birthday girl '' is an actor 's movie first and foremost .,1
that remains vividly in memory long,1
whimsical and relevant today,1
laughs at how clever it 's being .,1
is always watchable,1
important and exhilarating,1
will find that the road to perdition leads to a satisfying destination .,1
", you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor .",1
one hollywood cliche,0
he respects the material without sentimentalizing it,1
a loquacious and dreary piece of business .,0
miller comes at film with bracing intelligence and a vision both painterly and literary .,1
an avalanche of more appealing holiday-season product,1
is funny .,1
at a bad rock concert,0
"inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss .",1
sweet spirit,1
"devolves into the derivative , leaning on badly-rendered cgi effects .",0
a blown-out vein,0
"any viewer , young or old ,",1
so rich with period minutiae,1
wears its heart on the sleeve of its gaudy hawaiian shirt,1
interesting work,1
will nevertheless find moving .,1
to the otherwise bleak tale,0
an extraordinary faith,1
"it 's possible that something hip and transgressive was being attempted here that stubbornly refused to gel ,",0
kissing jessica stein is one of the greatest date movies in years .,1
pretty listless,0
seems embarrassed,0
... is dudsville .,0
crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy,1
but quietly effective,1
he 's been responsible for putting together any movies of particular value or merit,0
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ... `` my big fat greek wedding '' comes from the heart,1
just a string of stale gags,0
the service of a limpid and conventional historical fiction,0
so slick and watered-down it almost loses what made you love it,0
twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster,1
it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump,0
aan opportunity wasted .,0
most sparkling,1
be smarter and more diabolical,1
"'s a hellish ,",0
", this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food .",1
takes itself all too seriously,0
mark pellington 's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth .,1
"crass , low-wattage",0
make paid in full worth seeing,1
"presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves",0
a baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise .,0
hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation .,1
", the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes .",0
"so muddled , repetitive and ragged",0
episodic choppiness,0
"as darkly funny , energetic",1
quite endearing .,1
"any recent film , independent or otherwise , that makes as much of a mess as this one",0
were made for the palm screen,0
"that jumps off the page , and for the memorable character creations",1
"vulgar , sexist , racist humor",0
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1
hobbled by half-baked setups and sluggish pacing,0
"the script , the gags , the characters are all direct-to-video stuff",0
breathe out of every frame .,1
"formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe",0
its one-sidedness,0
"... plenty of warmth to go around , with music and laughter and the love of family .",1
"america , history",1
with humor and lightness,1
captures an italian immigrant family on the brink of major changes,1
that already-shallow,0
seemed bored,0
bombs,0
"into the `` a '' range , as is",1
a fairy tale,1
botches,0
of a predictable outcome and a screenplay,0
can still be smarter than any 50 other filmmakers still at work .,1
of our best actors,1
"proves she has the stuff to stand tall with pryor , carlin and murphy .",1
little wit and no surprises,0
of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum,0
is no foundation for it,0
the seemingly irreconcilable situation,0
succumbs to sensationalism,1
"fails in making this character understandable , in getting under her skin , in exploring motivation ... well",0
is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture in its own right .,1
is a real filmmaker,1
you 're convinced that this mean machine was a decent tv outing that just does n't have big screen magic .,0
hackneyed and meanspirited,0
"it 's hard to quibble with a flick boasting this many genuine cackles , but",1
part of the fun,1
a stiflingly unfunny and unoriginal mess this,0
welcomed tens of thousands of german jewish refugees,1
opening up ' the play more has partly closed it down .,0
limited but enthusiastic,1
treads old turf like a hippopotamus ballerina,0
try to surprise us with plot twists,1
torture and,0
a grand tour,1
"honesty , insight and humor",1
nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin,1
are infants,0
"joan and philip 's repetitive arguments , schemes and treachery",0
"like the rugrats movies , the wild thornberrys movie does n't offer much more than the series",0
"haynes makes us see familiar issues , like racism and homophobia , in a fresh way .",1
is pretty weary,0
elevated by michael caine 's performance as a weary journalist in a changing world,1
increasingly disturbed,0
would have likely wound up a tnt original,0
"though it 's not very well shot or composed or edited , the score is too insistent and",0
"in theory , a middle-aged romance pairing clayburgh and tambor sounds promising",1
"good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart",1
", it actually hurts to watch .",0
a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people,1
script error,0
cringe,0
a lovably,1
're down,0
a lot of tooth in roger dodger,1
you missed the point,0
than to change hackneyed concepts when it comes to dreaming up romantic comedies,0
"seem to keep upping the ante on each other , just as their characters do in the film",1
equally distasteful,0
the dead horse,0
an interesting technical exercise,1
in such a gloriously goofy way,1
benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .,1
it should be poignant,1
a sloppy slapstick throwback to long gone bottom-of-the-bill fare like the ghost and mr. chicken .,0
this alleged psychological thriller,0
"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",1
emphatic,1
negligible british comedy .,0
( rises ) above its oh-so-hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism,1
"revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the stylistic rigors of denmark 's dogma movement",1
"some very good acting ,",1
"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",1
the gags are puerile .,0
"the attraction between these two marginal characters is complex from the start -- and , refreshingly , stays that way .",1
"is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families",1
"that mel gibson can gasp , shudder and even tremble without losing his machismo",1
can be a knockout,1
compelled to watch the film twice or pick up a book on the subject,1
visually ravishing,1
"a buoyant , expressive flow",1
"sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack",1
if unintentionally dull in its lack of poetic frissons,0
"in the end , the film is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide .",1
the chief reasons brown sugar is such a sweet and sexy film,1
with absurdly inappropriate ` comedy ' scenes,0
call it a work of art,1
"( a ) thoughtful , visually graceful work .",1
feeling a little sticky and unsatisfied,0
sprightly spin,1
's no surprise that as a director washington demands and receives excellent performances,1
screwed-up characters,0
the more common saccharine genre,0
as a dystopian movie,0
"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab",0
drunken driver,0
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",0
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly",1
stevens has a flair for dialogue comedy,1
the true impact of the day,1
( a ) real pleasure in its laid-back way .,1
barely tolerable slog,0
that would be me : fighting off the urge to doze .,0
"why , after only three films , director/co-writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers",1
's fun for kids of any age,1
"smart and fun , but far more witty than it is wise .",1
a very lively dream,1
stays there for the duration,1
offers little insight,0
puts itself squarely in the service of the lovers who inhabit it,1
one of those unassuming films that sneaks up on you and stays with you long after you have left the theater .,1
gorgeous film a must for everyone from junior scientists to grown-up fish lovers,1
", and genius",1
the lousy tarantino imitations,0
unexplainable pain,0
sensual delights and simmering,1
"a chilly , remote , emotionally distant piece ... so dull that its tagline",0
never recovers from the clumsy clich of the ugly american abroad,0
simply,1
"solid , psychological action film",1
and engaging film,1
that spends a bit too much time on its fairly ludicrous plot,0
a great missed opportunity,0
mira nair 's new movie has its audience giddy with the delight of discovery,1
interesting as a character study is the fact that the story is told from paul 's perspective,1
his sentimental journey of the heart,1
can do no wrong with jason x.,1
a surprisingly sweet and gentle comedy .,1
terribly obvious melodrama and rough-hewn vanity project,0
be the worst film a man has made about women since valley of the dolls,0
rollicking,1
with an undeniable energy,1
that never quite goes where you expect and often surprises you with unexpected comedy,1
quiet family drama,1
the right frame of mind,1
they threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,0
pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them .,1
an addictive guilty pleasure,1
spy has all the same problems the majority of action comedies have .,0
"elements of romance , tragedy and even silent-movie comedy",1
would require many sessions on the couch of dr. freud,0
"by turns pretentious , fascinating , ludicrous , provocative and vainglorious .",1
wear thin with repetition,0
believe it,1
to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings,1
a fine production with splendid singing,1
"in addition to sporting one of the worst titles in recent cinematic history , ballistic : ecks vs. sever also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase .",0
it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults,1
visual appeal,1
"pointless , tasteless and idiotic",0
is so intent on hammering home his message that he forgets to make it entertaining .,0
both overplayed and exaggerated,0
"sentimental , hypocritical",0
suffering,0
rare quality,1
"presents nothing special and , until the final act , nothing overtly disagreeable .",0
"barely shocking , barely interesting and most of all",0
will be friends through thick and thin,1
be entertained by the sight of someone getting away with something,1
it deserves to be seen everywhere .,1
apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note,1
see what he could make with a decent budget,1
ably balances real-time rhythms with propulsive incident .,1
there are many definitions of ` time waster ',0
supremely kittenish,1
shines,1
's a barely tolerable slog over well-trod ground,0
"replacing john carpenter 's stylish tracking shots is degraded , handheld blair witch video-cam footage .",0
of dramatic interest,1
made indieflick in need of some trims and a more chemistry between its stars,0
"the subject matter that ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second",0
you are likely to witness in a movie theater for some time,1
viveka seldahl and sven wollter will touch you to the core in a film you will never forget -- that you should never forget .,1
their feces,0
best brush,1
a treatise on spirituality as well as a solid sci-fi thriller,1
an energy that puts the dutiful efforts of more disciplined grade-grubbers,1
especially the frank sex scenes ) ensure that the film is never dull,1
the hours represents two of those well spent,1
that fails on so many levels,0
"is rather the way it introduces you to new , fervently held ideas and fanciful thinkers .",1
almost seems like a documentary in the way,1
", the film shatters you in waves .",1
heartfelt comedy,1
seems more tacky and reprehensible,0
encouraging,1
articulates the tangled feelings of particular new yorkers deeply touched by an unprecedented tragedy,1
"yes , spirited away is a triumph of imagination ,",1
though flawed,0
mild disturbance or detached pleasure,0
a masterpeice,1
"fun about this silly , outrageous , ingenious thriller",1
ca n't go wrong,1
in a ridiculous wig no respectable halloween costume shop would ever try to sell,0
maintains an appealing veneer without becoming too cute about it,1
"a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated .",0
"is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio",0
"inconsistent , meandering , and sometimes dry plot",0
elaborate special effects,1
is omitted nor a clich left unsaid .,0
"of a movie , a vampire soap opera that does n't make much",0
could n't have done any better in bringing the story of spider-man to the big screen .,1
"delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory",1
perhaps the best sports movie i 've ever seen .,1
nail the spirit-crushing ennui of denuded urban living without giving in to it,1
enthralling documentary,1
sordid and,0
an intelligent romantic thriller,1
gently tedious in its comedy,0
director peter kosminsky gives these women a forum to demonstrate their acting ` chops ',1
than money why this distinguished actor would stoop so low,0
a one liner as well as anybody,1
", the more outrageous bits achieve a shock-you-into-laughter intensity of almost dadaist proportions .",1
"the off-center humor is a constant , and the ensemble gives it a buoyant delivery .",1
the innate theatrics that provide its thrills and extreme emotions,1
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances",1
visually,1
sets out to entertain and,1
"by his art , which is more than he has ever revealed before about the source of his spiritual survival",1
"french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama",1
"a sensitive , modest comic tragedy",1
"( kline 's ) utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and",1
uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .,0
"valiantly struggled to remain interested , or at least conscious",0
' should never have been brought out of hibernation,0
toback 's deranged immediacy makes it seem fresh again .,1
sucked,0
a lower i.q. than when i had entered,0
"an often intense character study about fathers and sons , loyalty and duty",1
is barely an hour long .,0
is lacking,0
contrived pastiche of caper clich s .,0
guilty,0
it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it,0
the glaring triteness of the plot device,0
a gushy episode of `` m * a * s * h '' only this time from an asian perspective .,0
about which you can actually feel good,1
"regret , love , duty and friendship",1
sleep-inducingly,0
reviewers,1
be patient with the lovely hush !,1
brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special .,1
's not bad prose,1
sandbox,1
"ourside the theater roger might be intolerable company ,",0
that it 's a rock-solid little genre picture,1
"unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness",1
incoherence and sub-sophomoric,0
"it 's better suited for the history or biography channel , but there 's no arguing the tone of the movie - it leaves a bad taste in your mouth and questions on your mind .",0
"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .",0
looks fake,0
a bad sign in a thriller when you instantly know whodunit,0
"jumps around with little logic or continuity ,",0
riveting set pieces,1
guessing at almost every turn,1
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in,1
is very choppy and monosyllabic despite the fact,0
"see scratch for a lesson in scratching , but , most of all , see it for the passion .",1
"if damon and affleck attempt another project greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about .",0
seems to enjoy its own transparency,1
begins haranguing the wife in bad stage dialogue,0
the small moments,1
we never truly come to care about the main characters and whether or not they 'll wind up together,0
psychological thriller,1
make this worth a peek,1
in luminous interviews and amazingly evocative film from three decades ago,1
wiseman is patient,1
"pure , exciting moviemaking",1
"not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired",0
avalanche,0
be missing a great deal of the acerbic repartee of the play,0
an absurdly simplistic picture,0
mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .,1
are required to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ?,0
it has a genuine dramatic impact,1
"it does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject .",0
slight but enjoyable documentary .,1
donna,1
's pleasant enough,1
"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .",1
intriguing movie experiences,1
his top-notch creative team,1
", ugly and destructive little ****",0
off the path of good sense,0
"its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes",1
the actors ' perfect comic timing,1
", maybe i can channel one of my greatest pictures , drunken master",1
"thrills , too many flashbacks",0
dupe,0
's hard to resist his pleas to spare wildlife and respect their environs,1
good thriller .,1
green dragon is still a deeply moving effort to put a human face on the travail of thousands of vietnamese .,1
the best script that besson has written in years,1
"one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",1
capture the chaos of france in the 1790 's,1
for a strong education and good teachers being more valuable in the way they help increase an average student 's self-esteem,1
's its first sign of trouble,0
hubristic folly,0
's hard to believe that something so short could be so flabby .,0
"some good , organic character work",1
an amused indictment of jaglom 's own profession .,1
elbowed aside,0
